
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-16 09:02:56 /api/exams/1/analytics/summary ............... ~ 0.31ms
  2026-04-16 09:02:56 /api/exams/1/analytics/item-analysis ......... ~ 0.17ms
  2026-04-16 09:02:56 /api/exams/1/reports/ranking ................. ~ 0.13ms
  2026-04-16 09:02:56 /api/exams/1/analytics/summary ............... ~ 0.18ms
  2026-04-16 09:02:56 /api/exams/1/analytics/item-analysis ......... ~ 0.17ms
  2026-04-16 09:02:56 /api/exams/1/reports/ranking ................. ~ 0.13ms
  2026-04-16 09:02:56 /api/exams/1/analytics/summary ............... ~ 0.18ms
  2026-04-16 09:02:56 /api/exams/1/analytics/item-analysis ......... ~ 0.17ms
  2026-04-16 09:02:56 /api/exams/1/reports/ranking ................. ~ 0.13ms
  2026-04-16 09:03:13 /api/exams/1/analytics/summary ............... ~ 0.12ms
  2026-04-16 09:03:13 /api/exams/1/analytics/item-analysis ......... ~ 0.04ms
  2026-04-16 09:03:13 /api/exams/1/reports/ranking ................. ~ 0.20ms
  2026-04-16 09:03:13 /api/exams/1/analytics/summary ............... ~ 0.23ms
  2026-04-16 09:03:13 /api/exams/1/analytics/item-analysis ......... ~ 0.21ms
  2026-04-16 09:03:13 /api/exams/1/reports/ranking ................. ~ 0.16ms
  2026-04-16 09:03:13 /api/exams/1/analytics/summary ............... ~ 0.22ms
  2026-04-16 09:03:13 /api/exams/1/analytics/item-analysis ......... ~ 0.21ms
  2026-04-16 09:03:13 /api/exams/1/reports/ranking ................. ~ 0.16ms
  2026-04-16 09:03:13 /api/exams/1/analytics/summary ............... ~ 0.21ms
  2026-04-16 09:03:13 /api/exams/1/analytics/item-analysis ......... ~ 0.20ms
  2026-04-16 09:03:13 /api/exams/1/reports/ranking ................. ~ 0.15ms
  2026-04-16 09:03:13 /api/exams/1/analytics/summary ............... ~ 0.13ms
  2026-04-16 09:03:13 /api/exams/1/analytics/item-analysis ......... ~ 0.33ms
  2026-04-16 09:03:13 /api/exams/1/reports/ranking ................. ~ 0.18ms
  2026-04-16 09:03:13 /api/exams/1/analytics/summary ............... ~ 0.22ms
