
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-15 11:23:54 /api/question-banks .......................... ~ 0.08ms
  2026-04-15 11:23:54 /api/question-banks .......................... ~ 0.11ms
  2026-04-15 11:23:57 /api/exams ................................... ~ 0.25ms
  2026-04-15 11:23:57 /api/exams ................................... ~ 1.08ms
  2026-04-15 11:23:57 /api/exams ................................... ~ 0.07ms
  2026-04-15 11:23:57 /api/exams ................................... ~ 0.07ms
  2026-04-15 11:24:00 /api/auth/me ................................. ~ 0.15ms
  2026-04-15 11:24:00 /api/auth/me ................................. ~ 0.62ms
  2026-04-15 11:24:00 /api/auth/me ................................. ~ 0.04ms
  2026-04-15 11:24:00 /api/auth/me ................................. ~ 0.03ms
  2026-04-15 11:24:03 /api/exams ................................... ~ 0.44ms
  2026-04-15 11:24:03 /api/exams ................................... ~ 1.69ms
  2026-04-15 11:24:03 /api/exams ................................... ~ 0.10ms
  2026-04-15 11:24:03 /api/exams ................................... ~ 0.07ms
  2026-04-15 11:24:09 /api/exams/1/analytics/summary ............... ~ 0.27ms
  2026-04-15 11:24:09 /api/exams/1/analytics/item-analysis ......... ~ 0.81ms
  2026-04-15 11:24:09 /api/exams/1/reports/ranking ................. ~ 1.29ms
  2026-04-15 11:24:09 /api/exams/1/analytics/summary ............... ~ 1.87ms
  2026-04-15 11:24:09 /api/exams/1/analytics/item-analysis ......... ~ 1.76ms
  2026-04-15 11:24:09 /api/exams/1/reports/ranking ................. ~ 0.62ms
  2026-04-15 11:24:09 /api/exams/1/analytics/summary ............... ~ 0.76ms
  2026-04-15 11:24:09 /api/exams/1/analytics/item-analysis ......... ~ 0.45ms
  2026-04-15 11:24:09 /api/exams/1/reports/ranking ................. ~ 0.34ms
  2026-04-15 11:24:09 /api/exams/1/analytics/summary ............... ~ 0.44ms
  2026-04-15 11:24:09 /api/exams/1/analytics/item-analysis ......... ~ 0.42ms
  2026-04-15 11:24:09 /api/exams/1/reports/ranking ................. ~ 0.32ms
  2026-04-15 11:24:12 /api/exams ................................. ~ 505.79ms
  2026-04-15 11:24:12 /api/exams ................................... ~ 0.11ms
  2026-04-15 11:24:12 /api/exams ................................... ~ 0.11ms
  2026-04-15 11:24:12 /api/exams ................................... ~ 0.07ms
  2026-04-15 11:24:17 /api/exams/1/participants .................... ~ 0.34ms
  2026-04-15 11:24:17 /api/exams/1/participants .................... ~ 0.90ms
  2026-04-15 11:24:17 /api/exams/1/participants .................... ~ 0.06ms
  2026-04-15 11:24:17 /api/exams/1/participants .................... ~ 0.06ms
  2026-04-15 11:24:37 /api/exams ................................... ~ 0.44ms
  2026-04-15 11:24:37 /api/exams ................................... ~ 1.60ms
  2026-04-15 11:24:37 /api/exams ................................... ~ 0.10ms
  2026-04-15 11:24:37 /api/exams ................................... ~ 0.06ms
  2026-04-15 11:25:14 /api/exams/1/participants .................... ~ 4.88ms
  2026-04-15 11:25:14 /api/exams/1/participants .................... ~ 5.25ms
  2026-04-15 11:25:14 /api/exams/1/participants .................... ~ 0.04ms
  2026-04-15 11:25:14 /api/exams/1/participants .................... ~ 0.04ms
  2026-04-15 11:25:17 /api/exams ................................... ~ 0.10ms
  2026-04-15 11:25:17 /api/exams ................................. ~ 506.35ms
  2026-04-15 11:25:17 /api/exams ................................... ~ 0.12ms
  2026-04-15 11:25:17 /api/exams ................................... ~ 0.11ms
  2026-04-15 11:25:22 /api/auth/me ................................. ~ 0.07ms
  2026-04-15 11:25:22 /api/auth/me ................................. ~ 0.24ms
  2026-04-15 11:25:22 /api/auth/me ................................. ~ 0.02ms
  2026-04-15 11:25:22 /api/auth/me ................................. ~ 0.01ms
  2026-04-15 11:25:25 /api/exams ................................... ~ 0.39ms
  2026-04-15 11:25:25 /api/exams ................................... ~ 0.10ms
  2026-04-15 11:25:25 /api/exams ................................... ~ 0.10ms
  2026-04-15 11:25:25 /api/exams ................................... ~ 0.11ms
  2026-04-15 11:26:32 /api/users ................................... ~ 0.17ms
  2026-04-15 11:26:32 /api/users ................................... ~ 0.65ms
  2026-04-15 11:26:32 /api/users ................................... ~ 0.04ms
  2026-04-15 11:26:32 /api/users ................................... ~ 0.04ms
  2026-04-15 11:26:43 /api/exams ................................... ~ 0.16ms
  2026-04-15 11:26:43 /api/exams ................................... ~ 0.70ms
  2026-04-15 11:26:43 /api/exams ................................... ~ 0.08ms
  2026-04-15 11:26:43 /api/exams ................................... ~ 0.04ms
  2026-04-15 11:26:45 /api/exams/1/participants .................... ~ 0.29ms
  2026-04-15 11:26:45 /api/exams/1/participants .................... ~ 0.79ms
  2026-04-15 11:26:45 /api/exams/1/participants .................... ~ 0.05ms
  2026-04-15 11:26:45 /api/exams/1/participants .................... ~ 0.04ms
  2026-04-15 11:26:48 /api/users/search ............................ ~ 0.09ms
  2026-04-15 11:26:48 /api/users/search ............................ ~ 0.03ms
  2026-04-15 11:26:54 /api/users/search ............................ ~ 2.84ms
  2026-04-15 11:26:54 /api/users/search ............................ ~ 0.04ms
  2026-04-15 11:26:56 /api/users/search ............................ ~ 0.14ms
  2026-04-15 11:26:56 /api/users/search ............................ ~ 0.04ms
  2026-04-15 11:26:58 /api/exams/1/participants/register ........... ~ 0.09ms
  2026-04-15 11:26:58 /api/exams/1/participants/register ........... ~ 0.02ms
  2026-04-15 11:26:58 /api/exams/1/participants .................... ~ 0.02ms
