
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-16 08:43:25 /api/exams/1/reports/ranking ................. ~ 0.44ms
  2026-04-16 08:43:25 /api/exams/1/analytics/summary ............... ~ 0.58ms
  2026-04-16 08:43:25 /api/exams/1/analytics/item-analysis ......... ~ 0.64ms
  2026-04-16 08:43:25 /api/exams/1/reports/ranking ................. ~ 0.58ms
  2026-04-16 08:43:25 /api/exams/1/analytics/summary ............... ~ 0.82ms
  2026-04-16 08:43:25 /api/exams/1/analytics/item-analysis ......... ~ 0.80ms
  2026-04-16 08:43:25 /api/exams/1/reports/ranking ................. ~ 0.47ms
  2026-04-16 08:43:25 /api/exams/1/analytics/summary ............... ~ 0.72ms
  2026-04-16 08:43:25 /api/exams/1/analytics/item-analysis ......... ~ 0.55ms
  2026-04-16 08:43:25 /api/exams/1/reports/ranking ................. ~ 0.49ms
  2026-04-16 08:43:34 /api/exams/1/reports/export.pdf ............ ~ 505.59ms
  2026-04-16 08:48:39 /api/exams/1/analytics/summary ............... ~ 4.66ms
  2026-04-16 08:48:39 /api/exams/1/analytics/item-analysis ......... ~ 0.03ms
  2026-04-16 08:48:39 /api/exams/1/reports/ranking ................. ~ 0.11ms
  2026-04-16 08:48:39 /api/exams/1/analytics/summary ............... ~ 0.13ms
  2026-04-16 08:48:39 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 08:48:39 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 08:48:39 /api/exams/1/analytics/summary ............... ~ 0.16ms
  2026-04-16 08:48:39 /api/exams/1/analytics/item-analysis ......... ~ 0.19ms
  2026-04-16 08:48:39 /api/exams/1/reports/ranking ................. ~ 0.11ms
  2026-04-16 08:48:39 /api/exams/1/analytics/summary ............... ~ 0.13ms
  2026-04-16 08:48:39 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 08:48:39 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 08:48:39 /api/exams/1/analytics/summary ............... ~ 0.02ms
  2026-04-16 08:48:39 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 08:48:39 /api/exams/1/reports/ranking ................. ~ 0.19ms
  2026-04-16 08:48:39 /api/exams/1/analytics/summary ............... ~ 0.20ms
  2026-04-16 08:48:39 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 08:48:39 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 08:48:39 /api/exams/1/analytics/summary ............... ~ 0.12ms
  2026-04-16 08:48:39 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 08:48:39 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 08:48:39 /api/exams/1/analytics/summary ............... ~ 0.12ms
  2026-04-16 08:48:39 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
  2026-04-16 08:48:39 /api/exams/1/reports/ranking ................. ~ 0.09ms
  2026-04-16 08:48:40 /api/exams/1/analytics/summary ............... ~ 0.02ms
  2026-04-16 08:48:40 /api/exams/1/analytics/item-analysis ......... ~ 0.12ms
