 INFO  Accepting connections at http://localhost:5173
 HTTP  4/18/2026 1:20:52 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:52 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:20:52 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:52 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:20:52 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:52 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:20:52 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:52 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:20:52 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:53 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:20:53 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:20:53 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:53 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:53 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:20:53 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:53 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:20:53 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:53 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:20:53 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:20:53 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:53 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:20:53 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:20:53 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:53 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:20:53 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:53 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:20:53 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:20:53 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:20:53 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:20:53 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:20:53 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:21:26 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:21:26 PM ::1 Returned 304 in 2 ms
 HTTP  4/18/2026 1:21:26 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  4/18/2026 1:21:26 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:21:30 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:21:30 PM ::1 Returned 200 in 0 ms
 HTTP  4/18/2026 1:21:30 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:21:30 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:21:30 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:21:30 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:21:30 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  4/18/2026 1:21:30 PM ::1 Returned 200 in 0 ms
 HTTP  4/18/2026 1:21:30 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:21:30 PM ::1 Returned 200 in 1 ms
 HTTP  4/18/2026 1:21:59 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:21:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:21:59 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:21:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:21:59 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:21:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:21:59 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:21:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:21:59 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:21:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:21:59 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:21:59 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:21:59 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:21:59 PM ::1 Returned 304 in 2 ms
 HTTP  4/18/2026 1:21:59 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:21:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:21:59 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:21:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:21:59 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:21:59 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:21:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:21:59 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:21:59 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:21:59 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:22:00 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:22:00 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:22:00 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /assets/index-DHBK4iuc.js
 HTTP  4/18/2026 1:22:00 PM ::1 GET /assets/index-DD_xxl_c.css
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 0 ms
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /favicon.svg
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /results/exams/1
 HTTP  4/18/2026 1:22:00 PM ::1 Returned 304 in 1 ms
 HTTP  4/18/2026 1:22:00 PM ::1 GET /assets/index-DD_xxl_c.css
